e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
644.5,769.7,832.5,775.2,752.8,678.5,649.5,653.7,670.4,670.6,667.4,661.8,680.8,682.4,687.5,724,757.1,835.4,895.9,898.2
640.1,668.9,711.3,692.7,653.4,531.1,450.5,438.5,485.5,482.7,473.7,503,497.3,512.3,530.5,549.7,587.9,637.5,742.5,808.8
749.1,727.1,776.9,712.4,586.4,488.3,449.6,461.5,474.5,479,477.2,470.6,475.7,473.4,469.1,470.6,483.8,512.9,524.7,539.5
710.3,732.9,743.9,730.3,641.2,601.8,569.3,563.1,543,555.3,591.5,690.6,753.4,761.6,741.9,740.7,752,758.1,787,827.5
653.4,697.1,695.2,679.5,648.8,586.6,441.2,404.5,410.4,409.7,430.4,433.5,443.5,448.3,446.1,498.6,498.4,517.4,610.2,733.8
565.3,585.2,659.1,627.3,553.1,504.7,490.7,465.3,451.3,463.5,472.4,463.3,453.2,438.5,448.3,459,487.9,518.3,578.9,717.3
579.1,537.6,500.1,502.7,579.9,586.4,581.6,571,541.7,518.6,481.2,469.5,480.4,467.7,461,463.9,483.9,519.5,580.1,660.6
601.1,692.2,723.1,713,640.1,640.4,664.8,662.5,674.1,636.3,647.2,655.9,667.7,703.5,782.6,740.6,797.7,850.4,821.9,900.3
831.3,889.9,910.1,864.2,720,610.1,568.6,555.3,593.1,663.8,782.7,856.2,923.3,890.5,951.4,977.8,1015.2,1092.4,1073.9,1044.6
772.9,829.5,782.1,726.3,673.6,586.1,551.5,518.9,480.4,442.5,416,415,454.4,485.2,511.5,471.9,495.3,553.2,611.1,679.6
792.5,819.7,829.7,751,713.3,599.4,594.5,629.4,651.6,708.2,739.1,783.4,788.2,841.8,849.7,865.1,883.9,906.6,948.8,972.8
696.3,656,686.7,691.2,557.5,532.5,492.2,551.6,575.5,564.4,567.9,547.7,538.6,531.7,534.3,576.1,632.7,589.6,579.7,615
799.5,880.1,877,877.5,776.6,620.1,594.3,597.1,601.8,612.4,607.2,604.8,598.7,633.9,591.3,579.3,609.5,678.2,750.3,765.6
631.3,636.9,638.2,622.2,543.6,454.3,466.3,461.1,471.6,498.4,513.3,525.8,536.3,537.1,527.1,534,560.1,651.6,761.3,795.8
667.8,652.9,667.1,580.5,579.1,606.4,676.2,662.1,600.2,548.7,528.6,513.2,494.3,484.2,491,490.1,494.8,500.7,496.5,515.6
742.4,725.5,622.4,606.5,597.2,610.9,625.7,659,714.1,718,703,722.4,758.7,844.8,842.4,881,900.3,880.7,825.4,827.4
886.5,923.1,914.8,767.2,614.2,589.2,599.6,664.3,729.7,770.4,811.9,873.5,946.5,976.2,1057.3,1141.4,1203.9,1239,1241.4,1188.4
792.6,782.8,787.8,785.1,730.4,586,595.2,626.4,584.8,506.4,480.9,474.2,490.2,509.4,540.9,557,570.1,579.5,567.7,616
714.3,769.9,774,724.2,581,531.7,540,565.2,624.5,695.8,753.1,825.8,867.4,909.2,951.5,978.5,1022.2,1097,1127.5,1173
769.5,741.2,697.6,599.8,570.7,577.3,535.8,513.6,581.1,652.3,648.1,639.8,642.4,651.9,668.1,733.9,787.6,813.8,892,969.5
